Mixture	blood_highCXCR4_plasmacell	blood_lowCXCR4_plasmacell	blood_end_plasmacell	tonsil_lowCD74_plasmacell	blood_cycling_plasmacell	tonsil_cycling_plasmacell	tonsil_highCD74_plasmacell	blood_plasmablast	P-value	Correlation	RMSE
MMRF_2605	0.645462540411928	0	0.207081842222208	0	0.13188460768772	0	0.0127246206793027	0.0028463889988415	0	0.796143353289548	0.72498631959647
MMRF_1304	0.343860769387495	0.159262693411233	0.111121560515999	0.293312515284651	0	0.0924424614006219	0	0	0	0.773282876976257	0.634113192365635
MMRF_1682	0.335716951867122	0	0.0414453026621477	0.5480389833338	0.0717696700512031	0	0	0.00302909208572682	0	0.821649244431601	0.61020512939832
MMRF_2782	0.460800883702416	0	0.177172865053984	0.288135883619771	0.0548156357392149	0	0.0190747318846147	0	0	0.930981069574069	0.368615537070754
MMRF_2400	0.262485069632912	0.153428937376903	0	0.387551769586919	0	0.0880300171693802	0.0296070271305952	0.0788971791032909	0	0.108224525131041	1.0640678498446
MMRF_2770	0.323367544696276	0.0330544171673081	0	0.394147621982417	0.249430416153999	0	0	0	0	0.657495669274112	0.759621338170047
MMRF_2807	0.43150702599266	0	0.343210756287837	0	0.170185497216853	0	0.0337441063607872	0.0213526141418633	0	0.967239783653524	0.465147690073124
MMRF_2201	0.426275743878012	0.0844376838883386	0	0.181040387763434	0	0.0324775558928878	0.080417267166843	0.195351361410485	0	0.537544562516057	0.844251867522832
MMRF_1274	0.321404969982437	0.159731207985215	0	0.518863822032348	0	0	0	0	0	0.558371143906337	0.83003315950566
MMRF_2695	0.255435296720122	0.470242823717627	0	0.252474893479901	0	0.00390820323194012	0	0.0179387828504093	0	0.0592320576705984	1.12057755975576
MMRF_2853	0.658849141519771	0.0545255329268261	0	0.203762042093782	0	0.0185726704942911	0.0196377845380638	0.0446528284272656	0	0.641527826263392	0.772313219187609
MMRF_1574	0.415394936886595	0	0.0432020105003585	0.459110951335489	0	0.0797914964985291	0	0.00250060477902762	0	0.780479852996373	0.63969214386946
MMRF_2590	0.280961234847692	0.187772695155691	0.227826502087158	0.250915291642325	0	0.0525242762671342	0	0	0	0.914130500274146	0.415626513829642
MMRF_2573	0.227468642070696	0.260340505767951	0	0.342278855298423	0	0.131605157187812	0.0142923577373654	0.0240144819377524	0	0.17696889286676	1.03401525617306
MMRF_1895	0.43425074639175	0.0705678527992987	0.162484033305282	0.157161400541144	0	0.1477018161959	0	0.0278341507666257	0	0.925851373853826	0.377987479152968
MMRF_1311	0.486941484999595	0	0.241553357180393	0.0204879242601366	0.166449671546673	0	0.029273617467404	0.0552939445457981	0	0.894000661088423	0.52612572246378
MMRF_1595	0.110175703359196	0.267182089024462	0	0.272562670806865	0.209302037030823	0.132516932498756	0	0.00826056727989787	0	0.461298359541594	0.887100928980295
MMRF_1755	0.474727985446748	0.220309020086949	0	0	0	0.111734964364667	0.057389859807906	0.13583817029373	0	0.619960047653478	0.785169453663511
MMRF_2250	0.318251537287164	0	0.494427847706088	0.0517621891465321	0.135558425860216	0	0	0	0	0.985727419855315	0.637681223061954
MMRF_2498	0.267179440479236	0.0154494914646272	0.195095269781154	0.522275798274983	0	0	0	0	0	0.91796230118781	0.399109258759251
MMRF_2456	0.290388453120017	0.470087029157469	0	0.126924516439227	0	0.0797933619294522	0.00405463828169458	0.0287520010721402	0	0.0594483212765547	1.13193578333028
MMRF_1212	0.517146320089856	0.247511980685063	0.079239480144447	0.0627878314766247	0	0.014955922686111	0.00797218563141599	0.070386279286483	0	0.61208867004656	0.828363088101706
